Tue Dec 02 00:27:36 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
Tue Dec 02 00:29:58 +0000 2014,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted."
Tue Dec 02 01:06:42 +0000 2014,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it
Tue Dec 02 02:00:59 +0000 2014,So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple
Tue Dec 02 03:05:07 +0000 2014,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks
Tue Dec 02 05:06:55 +0000 2014,@apple ur a disgrace
Tue Dec 02 12:14:24 +0000 2014,@Apple #fail - Since updating my #ipad #OS there is a #bug that does not delete videos and free up memory forcing... http://t.co/AjdDTF19Nn
Tue Dec 02 15:23:49 +0000 2014,Did you notice that @Apple apps now say 'Get' instead of 'Free'? This change was due to alleged misleading labeling. http://t.co/In8SIkR1Qp
Tue Dec 02 15:28:06 +0000 2014,@shortyawards @Apple it is very confusing u wonder if it means u are going to get a bill later for Ur download please use free if it's free
Tue Dec 02 17:10:19 +0000 2014,"WOAH! 7% Cashback from @Apple store for #CyberMonday deals at http://t.co/fNROGTo4qO. #Ipads, #Iphones, #Mac and MORE."
Tue Dec 02 17:10:20 +0000 2014,"All computers are susceptible to Adware, and don't believe that @Apple computers are immune! See this post from... http://t.co/tM2wLSlZgR"
Tue Dec 02 19:39:26 +0000 2014,"Apple Watch on Track for February 2015 Release, Testing Underway [Rumour]  $AAPL #aapl"
